"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" "," ","Female",11590
" ","76 Years","Male",9830
" "," ","Female",11440
" ","77 Years","Male",9660
" "," ","Female",11070
" ","78 Years","Male",9440
" "," ","Female",11140
" ","79 Years","Male",8680
" "," ","Female",10680
" ","80 Years","Male",8060
" "," ","Female",10010
" ","81 Years","Male",7470
" "," ","Female",9460
" ","82 Years","Male",6740
" "," ","Female",8990
" ","83 Years","Male",5960
" "," ","Female",8480
" ","84 Years","Male",5240
" "," ","Female",7930
" ","85 Years","Male",4490
" "," ","Female",7180
" ","86 Years","Male",3770
" "," ","Female",6380
" ","87 Years","Male",3150
" "," ","Female",5850
" ","88 Years","Male",2650
" "," ","Female",5200
" ","89 Years","Male",2080
" "," ","Female",4370
" ","90 Years","Male",1410
" "," ","Female",3200
" ","91 Years","Male",1090
" "," ","Female",2730
" ","92 Years","Male",910
" "," ","Female",2290
" ","93 Years","Male",700
" "," ","Female",1860
" ","94 Years","Male",500
" "," ","Female",1450
" ","0-4 Years","Male",157890
" "," ","Female",149620
" ","5-9 Years","Male",149370
" "," ","Female",142510
" ","10-14 Years","Male",154880
" "," ","Female",146950
" ","15-19 Years","Male",160420
" "," ","Female",156820
" ","20-24 Years","Male",147020
" "," ","Female",146130
" ","25-29 Years","Male",133490
" "," ","Female",139390
" ","30-34 Years","Male",128560
" "," ","Female",140600
" ","35-39 Years","Male",147260
" "," ","Female",163050
" ","40-44 Years","Male",150840
" "," ","Female",163140
" ","45-49 Years","Male",156740
" "," ","Female",166890
" ","50-54 Years","Male",139360
" "," ","Female",145250
" ","55-59 Years","Male",122070
" "," ","Female",126240
" ","60-64 Years","Male",109250
" "," ","Female",112860
" ","65-69 Years","Male",83500
" "," ","Female",87460
" ","70-74 Years","Male",61900
" "," ","Female",67640
" ","75-79 Years","Male",47980
" "," ","Female",55910
" ","80-84 Years","Male",33460
" "," ","Female",44860
" ","85-89 Years","Male",16140
" "," ","Female",28980
" ","Under 15 Years","Male",462100
" "," ","Female",439100
" ","Under 16 Years","Male",493700
" "," ","Female",469400
" ","Under 18 Years","Male",558000
" "," ","Female",531900
" ","Under 20 Years","Male",622600
" "," ","Female",595900
" ","15-39 Years","Male",716800
" "," ","Female",746000
" ","15-49 Years","Male",1024300
" "," ","Female",1076000
" ","15-59 Years","Male",1285800
" "," ","Female",1347500
" ","40-64 Years","Male",678300
" "," ","Female",714400
" ","15-64 Years","Male",1395000
" "," ","Female",1460400
" ","15 Years and Over","Male",1643600
" "," ","Female",1760100
" ","16 Years and Over","Male",1612100
" "," ","Female",1729800
" ","18 Years and Over","Male",1547700
" "," ","Female",1667200
" ","20 Years and Over","Male",1483200
" "," ","Female",1603200
" ","90-94 Years","Male",4600
" "," ","Female",11530
" ","60 Years and Over","Male",357800
" "," ","Female",412500
" ","65 Years and Over","Male",248600
" "," ","Female",299700
" ","75 Years and Over","Male",103200
" "," ","Female",144600
" ","80 Years and Over","Male",55200
" "," ","Female",88700
" ","85 Years and Over","Male",21800
" "," ","Female",43800
" ","90 Years and Over","Male",5610
" "," ","Female",14840
" ","95 Years and Over","Male",1010
" "," ","Female",3310
" ","Median Age (Years)","Male",35.8
" "," ","Female",37.4
" ","Total All Ages","Male",2105800
" "," ","Female",2199100
2010,"0 Years","Male",32960
" "," ","Female",31390
" ","1 Years","Male",33120
" "," ","Female",30950
" ","2 Years","Male",33020
" "," ","Female",31370
" ","3 Years","Male",31870
" "," ","Female",30310
" ","4 Years","Male",30280
" "," ","Female",28980
" ","5 Years","Male",29890
" "," ","Female",28370
" ","6 Years","Male",29860
" "," ","Female",28430
" ","7 Years","Male",29340
" "," ","Female",27880
" ","8 Years","Male",29230
" "," ","Female",28140
" ","9 Years","Male",30600
" "," ","Female",29180
" ","10 Years","Male",31290
" "," ","Female",29650
" ","11 Years","Male",30610
" "," ","Female",28860
" ","12 Years","Male",30880
" "," ","Female",29450
" ","13 Years","Male",30930
" "," ","Female",29480
" ","14 Years","Male",31770
" "," ","Female",29890
" ","15 Years","Male",31790
" "," ","Female",30320
" ","16 Years","Male",31710
" "," ","Female",30650
" ","17 Years","Male",32090
" "," ","Female",31350
" ","18 Years","Male",32330
" "," ","Female",31530
" ","19 Years","Male",32900
" "," ","Female",32480
" ","20 Years","Male",32230
" "," ","Female",32110
" ","21 Years","Male",31260
" "," ","Female",30750
" ","22 Years","Male",30320
" "," ","Female",29890
" ","23 Years","Male",29040
" "," ","Female",28600
" ","24 Years","Male",28130
" "," ","Female",28330
" ","25 Years","Male",27590
" "," ","Female",28320
" ","26 Years","Male",27350
" "," ","Female",28340
" ","27 Years","Male",27220
" "," ","Female",28390
" ","28 Years","Male",26510
" "," ","Female",27980
" ","29 Years","Male",26200
" "," ","Female",27890
" ","30 Years","Male",25840
" "," ","Female",28080
" ","31 Years","Male",25560
" "," ","Female",28120
" ","32 Years","Male",25210
" "," ","Female",27660
" ","33 Years","Male",25570
" "," ","Female",27980
" ","34 Years","Male",25880
" "," ","Female",28220
" ","35 Years","Male",26810
" "," ","Female",29660
" ","36 Years","Male",27830
" "," ","Female",30880
" ","37 Years","Male",28890
" "," ","Female",32170
" ","38 Years","Male",30290
" "," ","Female",33460
" ","39 Years","Male",30560
" "," ","Female",34000
" ","40 Years","Male",30160
" "," ","Female",33320
" ","41 Years","Male",30430
" "," ","Female",33380
" ","42 Years","Male",30020
" "," ","Female",32760
" ","43 Years","Male",29830
" "," ","Female",32430
" ","44 Years","Male",30130
" "," ","Female",32210
" ","45 Years","Male",30470
" "," ","Female",32530
" ","46 Years","Male",31380
" "," ","Female",33460
" ","47 Years","Male",31830
" "," ","Female",34300
" ","48 Years","Male",31780
" "," ","Female",33840
" ","49 Years","Male",31140
" "," ","Female",33220
" ","50 Years","Male",30110
" "," ","Female",31790
" ","51 Years","Male",29390
" "," ","Female",30850
" ","52 Years","Male",28240
" "," ","Female",29650
" ","53 Years","Male",27920
" "," ","Female",29020
" ","54 Years","Male",27190
" "," ","Female",28260
" ","55 Years","Male",26010
" "," ","Female",27250
" ","56 Years","Male",25350
" "," ","Female",26420
" ","57 Years","Male",24550
" "," ","Female",25650
" ","58 Years","Male",24270
" "," ","Female",24960
" ","59 Years","Male",23830
" "," ","Female",24630
" ","60 Years","Male",23610
" "," ","Female",24450
" ","61 Years","Male",23490
" "," ","Female",24000
" ","62 Years","Male",23430
" "," ","Female",24240
" ","63 Years","Male",23090
" "," ","Female",23970
" ","64 Years","Male",20070
" "," ","Female",20890
" ","65 Years","Male",18590
" "," ","Female",19440
" ","66 Years","Male",17490
" "," ","Female",18120
" ","67 Years","Male",16030
" "," ","Female",16850
" ","68 Years","Male",17020
" "," ","Female",17950
" ","69 Years","Male",16630
" "," ","Female",17580
" ","70 Years","Male",15250
" "," ","Female",16190
" ","71 Years","Male",13650
" "," ","Female",14920
" ","72 Years","Male",12880
" "," ","Female",14040
" ","73 Years","Male",11950
" "," ","Female",13320
" ","74 Years","Male",11180
" "," ","Female",12490
" ","75 Years","Male",10660
" "," ","Female",11660
" ","76 Years","Male",10010
" "," ","Female",11340
" ","77 Years","Male",9460
" "," ","Female",11130
" ","78 Years","Male",9270
" "," ","Female",10730
" ","79 Years","Male",8990
" "," ","Female",10790
" ","80 Years","Male",8190
" "," ","Female",10250
" ","81 Years","Male",7560
" "," ","Female",9570
" ","82 Years","Male",6950
" "," ","Female",9000
" ","83 Years","Male",6210
" "," ","Female",8460
" ","84 Years","Male",5420
" "," ","Female",7930
" ","85 Years","Male",4710
" "," ","Female",7360
" ","86 Years","Male",4010
" "," ","Female",6580
" ","87 Years","Male",3310
" "," ","Female",5780
" ","88 Years","Male",2730
" "," ","Female",5250
" ","89 Years","Male",2260
" "," ","Female",4570
" ","90 Years","Male",1730
" "," ","Female",3780
" ","91 Years","Male",1150
" "," ","Female",2710
" ","92 Years","Male",870
" "," ","Female",2280
" ","93 Years","Male",710
" "," ","Female",1870
" ","94 Years","Male",530
" "," ","Female",1490
" ","0-4 Years","Male",161250
" "," ","Female",153000
" ","5-9 Years","Male",148920
" "," ","Female",142010
" ","10-14 Years","Male",155490
" "," ","Female",147330
" ","15-19 Years","Male",160830
" "," ","Female",156330
" ","20-24 Years","Male",150980
" "," ","Female",149690
" ","25-29 Years","Male",134870
" "," ","Female",140910
" ","30-34 Years","Male",128070
" "," ","Female",140060
" ","35-39 Years","Male",144380
" "," ","Female",160180
" ","40-44 Years","Male",150570
" "," ","Female",164090
" ","45-49 Years","Male",156600
" "," ","Female",167360
" ","50-54 Years","Male",142850
" "," ","Female",149570
" ","55-59 Years","Male",124020
" "," ","Female",128910
" ","60-64 Years","Male",113710
" "," ","Female",117560
" ","65-69 Years","Male",85760
" "," ","Female",89930
" ","70-74 Years","Male",64910
" "," ","Female",70960
" ","75-79 Years","Male",48380
" "," ","Female",55650
" ","80-84 Years","Male",34320
" "," ","Female",45230
" ","85-89 Years","Male",17020
" "," ","Female",29550
" ","Under 15 Years","Male",465700
" "," ","Female",442300
" ","Under 16 Years","Male",497500
" "," ","Female",472700
" ","Under 18 Years","Male",561300
" "," ","Female",534700
" ","Under 20 Years","Male",626500
" "," ","Female",598700
" ","15-39 Years","Male",719100
" "," ","Female",747200
" ","15-49 Years","Male",1026300
" "," ","Female",1078600
" ","15-59 Years","Male",1293200
" "," ","Female",1357100
" ","40-64 Years","Male",687800
" "," ","Female",727500
" ","15-64 Years","Male",1406900
" "," ","Female",1474700
" ","15 Years and Over","Male",1663300
" "," ","Female",1781700
" ","16 Years and Over","Male",1631500
" "," ","Female",1751300
" ","18 Years and Over","Male",1567700
" "," ","Female",1689400
" ","20 Years and Over","Male",1502500
" "," ","Female",1625300
" ","90-94 Years","Male",5000
" "," ","Female",12130
" ","60 Years and Over","Male",370200
" "," ","Female",424600
" ","65 Years and Over","Male",256400
" "," ","Female",307000
" ","75 Years and Over","Male",105800
" "," ","Female",146100
" ","80 Years and Over","Male",57400
" "," ","Female",90500
" ","85 Years and Over","Male",23100
" "," ","Female",45200
" ","90 Years and Over","Male",6060
" "," ","Female",15690
" ","95 Years and Over","Male",1060
" "," ","Female",3560
" ","Median Age (Years)","Male",35.9
" "," ","Female",37.7
" ","Total All Ages","Male",2129000
" "," ","Female",2224000
2011,"0 Years","Male",32240
" "," ","Female",30630
" ","1 Years","Male",32970
" "," ","Female",31340
" ","2 Years","Male",33070
" "," ","Female",30920
" ","3 Years","Male",32920
" "," ","Female",31310
" ","4 Years","Male",31800
" "," ","Female",30270
" ","5 Years","Male",30220
" "," ","Female",29000
" ","6 Years","Male",29860
" "," ","Female",28340
" ","7 Years","Male",29830
" "," ","Female",28470
" ","8 Years","Male",29390
" "," ","Female",27930
" ","9 Years","Male",29310
" "," ","Female",28230
" ","10 Years","Male",30690
" "," ","Female",29320
" ","11 Years","Male",31440
" "," ","Female",29770
" ","12 Years","Male",30730
" "," ","Female",28990
" ","13 Years","Male",31100
" "," ","Female",29580
" ","14 Years","Male",31150
" "," ","Female",29670
" ","15 Years","Male",31930
" "," ","Female",30030
" ","16 Years","Male",31990
" "," ","Female",30650
" ","17 Years","Male",31790
" "," ","Female",30860
" ","18 Years","Male",32070
" "," ","Female",31270
" ","19 Years","Male",32650
" "," ","Female",31650
" ","20 Years","Male",33230
" "," ","Female",32720
" ","21 Years","Male",32190
" "," ","Female",32040
" ","22 Years","Male",30950
" "," ","Female",30390
" ","23 Years","Male",29880
" "," ","Female",29550
" ","24 Years","Male",28540
" "," ","Female",28360
" ","25 Years","Male",27580
" "," ","Female",28180
" ","26 Years","Male",27060
" "," ","Female",28140
" ","27 Years","Male",26810
" "," ","Female",28190
" ","28 Years","Male",26820
" "," ","Female",28450
" ","29 Years","Male",26260
" "," ","Female",28150
" ","30 Years","Male",26160
" "," ","Female",28030
" ","31 Years","Male",25860
" "," ","Female",28270
" ","32 Years","Male",25480
" "," ","Female",28170
" ","33 Years","Male",25120
" "," ","Female",27680
" ","34 Years","Male",25570
" "," ","Female",28040
" ","35 Years","Male",25870
" "," ","Female",28290
" ","36 Years","Male",26820
" "," ","Female",29740
" ","37 Years","Male",27880
" "," ","Female",30890
" ","38 Years","Male",28890
" "," ","Female",32260
" ","39 Years","Male",30240
" "," ","Female",33480
" ","40 Years","Male",30510
" "," ","Female",34050
" ","41 Years","Male",30130
" "," ","Female",33330
" ","42 Years","Male",30390
" "," ","Female",33370
" ","43 Years","Male",29970
" "," ","Female",32730
" ","44 Years","Male",29760
" "," ","Female",32400
" ","45 Years","Male",30030
" "," ","Female",32130
" ","46 Years","Male",30340
" "," ","Female",32430
" ","47 Years","Male",31230
" "," ","Female",33360
" ","48 Years","Male",31650
" "," ","Female",34190
" ","49 Years","Male",31630
" "," ","Female",33710
" ","50 Years","Male",30940
" "," ","Female",33090
" ","51 Years","Male",29920
" "," ","Female",31660
" ","52 Years","Male",29200
" "," ","Female",30710
" ","53 Years","Male",28040
" "," ","Female",29530
" ","54 Years","Male",27750
" "," ","Female",28930
" ","55 Years","Male",26980
" "," ","Female",28180
" ","56 Years","Male",25870
" "," ","Female",27180
" ","57 Years","Male",25230
" "," ","Female",26380
" ","58 Years","Male",24420
" "," ","Female",25640
" ","59 Years","Male",24120
" "," ","Female",24950
" ","60 Years","Male",23730
" "," ","Female",24610
" ","61 Years","Male",23500
" "," ","Female",24430
" ","62 Years","Male",23400
" "," ","Female",23940
" ","63 Years","Male",23300
" "," ","Female",24160
" ","64 Years","Male",22980
" "," ","Female",23890
" ","65 Years","Male",19970
" "," ","Female",20820
" ","66 Years","Male",18420
" "," ","Female",19330
" ","67 Years","Male",17320
" "," ","Female",17980
" ","68 Years","Male",15860
" "," ","Female",16690
" ","69 Years","Male",16790
" "," ","Female",17760
" ","70 Years","Male",16340
" "," ","Female",17360
" ","71 Years","Male",14960
" "," ","Female",15930
" ","72 Years","Male",13330
" "," ","Female",14690
" ","73 Years","Male",12550
" "," ","Female",13810
" ","74 Years","Male",11630
" "," ","Female",13080
" ","75 Years","Male",10840
" "," ","Female",12190
" ","76 Years","Male",10290
" "," ","Female",11380
" ","77 Years","Male",9620
" "," ","Female",11060
" ","78 Years","Male",9020
" "," ","Female",10790
" ","79 Years","Male",8830
" "," ","Female",10380
" ","80 Years","Male",8530
" "," ","Female",10380
" ","81 Years","Male",7690
" "," ","Female",9800
" ","82 Years","Male",7030
" "," ","Female",9090
" ","83 Years","Male",6400
" "," ","Female",8500
" ","84 Years","Male",5670
" "," ","Female",7930
" ","85 Years","Male",4870
" "," ","Female",7330
" ","86 Years","Male",4200
" "," ","Female",6780
" ","87 Years","Male",3530
" "," ","Female",5950
" ","88 Years","Male",2870
" "," ","Female",5170
" ","89 Years","Male",2330
" "," ","Female",4630
" ","90 Years","Male",1880
" "," ","Female",3950
" ","91 Years","Male",1410
" "," ","Female",3190
" ","92 Years","Male",920
" "," ","Female",2240
" ","93 Years","Male",680
" "," ","Female",1860
" ","94 Years","Male",540
" "," ","Female",1470
" ","0-4 Years","Male",163010
" "," ","Female",154480
" ","5-9 Years","Male",148600
" "," ","Female",141970
" ","10-14 Years","Male",155110
" "," ","Female",147320
" ","15-19 Years","Male",160440
" "," ","Female",154460
" ","20-24 Years","Male",154780
" "," ","Female",153050
" ","25-29 Years","Male",134530
" "," ","Female",141110
" ","30-34 Years","Male",128210
" "," ","Female",140200
" ","35-39 Years","Male",139710
" "," ","Female",154650
" ","40-44 Years","Male",150760
" "," ","Female",165880
" ","45-49 Years","Male",154880
" "," ","Female",165820
" ","50-54 Years","Male",145850
" "," ","Female",153910
" ","55-59 Years","Male",126620
" "," ","Female",132330
" ","60-64 Years","Male",116910
" "," ","Female",121030
" ","65-69 Years","Male",88360
" "," ","Female",92590
" ","70-74 Years","Male",68800
" "," ","Female",74870
" ","75-79 Years","Male",48610
" "," ","Female",55810
" ","80-84 Years","Male",35330
" "," ","Female",45700
" ","85-89 Years","Male",17800
" "," ","Female",29860
" ","Under 15 Years","Male",466700
" "," ","Female",443800
" ","Under 16 Years","Male",498700
" "," ","Female",473800
" ","Under 18 Years","Male",562400
" "," ","Female",535300
" ","Under 20 Years","Male",627200
" "," ","Female",598200
" ","15-39 Years","Male",717700
" "," ","Female",743500
" ","15-49 Years","Male",1023300
" "," ","Female",1075200
" ","15-59 Years","Male",1295800
" "," ","Female",1361400
" ","40-64 Years","Male",695000
" "," ","Female",739000
" ","15-64 Years","Male",1412700
" "," ","Female",1482400
" ","15 Years and Over","Male",1678100
" "," ","Female",1797700
" ","16 Years and Over","Male",1646200
" "," ","Female",1767600
" ","18 Years and Over","Male",1582400
" "," ","Female",1706100
" ","20 Years and Over","Male",1517700
" "," ","Female",1643200
" ","90-94 Years","Male",5440
" "," ","Female",12710
" ","60 Years and Over","Male",382400
" "," ","Female",436300
" ","65 Years and Over","Male",265400
" "," ","Female",315200
" ","75 Years and Over","Male",108300
" "," ","Female",147800
" ","80 Years and Over","Male",59700
" "," ","Female",92000
" ","85 Years and Over","Male",24400
" "," ","Female",46300
" ","90 Years and Over","Male",6550
" "," ","Female",16410
" ","95 Years and Over","Male",1120
" "," ","Female",3700
" ","Median Age (Years)","Male",36.1
" "," ","Female",38.0
" ","Total All Ages","Male",2144800
" "," ","Female",2241400
2012,"0 Years","Male",31350
" "," ","Female",29910
" ","1 Years","Male",32180
" "," ","Female",30570
" ","2 Years","Male",32840
" "," ","Female",31210
" ","3 Years","Male",32970
" "," ","Female",30810
" ","4 Years","Male",32820
" "," ","Female",31170
" ","5 Years","Male",31670
" "," ","Female",30160
" ","6 Years","Male",30060
" "," ","Female",28870
" ","7 Years","Male",29740
" "," ","Female",28240
" ","8 Years","Male",29760
" "," ","Female",28380
" ","9 Years","Male",29330
" "," ","Female",27880
" ","10 Years","Male",29310
" "," ","Female",28240
" ","11 Years","Male",30760
" "," ","Female",29390
" ","12 Years","Male",31540
" "," ","Female",29810
" ","13 Years","Male",30860
" "," ","Female",29030
" ","14 Years","Male",31310
" "," ","Female",29670
" ","15 Years","Male",31380
" "," ","Female",29870
" ","16 Years","Male",32170
" "," ","Female",30300
" ","17 Years","Male",32090
" "," ","Female",30790
" ","18 Years","Male",31810
" "," ","Female",30750
" ","19 Years","Male",32380
" "," ","Female",31350
" ","20 Years","Male",32790
" "," ","Female",31710
" ","21 Years","Male",32950
" "," ","Female",32430
" ","22 Years","Male",31630
" "," ","Female",31420
" ","23 Years","Male",30330
" "," ","Female",29900
" ","24 Years","Male",29150
" "," ","Female",29200
" ","25 Years","Male",27880
" "," ","Female",28220
" ","26 Years","Male",26980
" "," ","Female",28060
" ","27 Years","Male",26530
" "," ","Female",28110
" ","28 Years","Male",26380
" "," ","Female",28170
" ","29 Years","Male",26590
" "," ","Female",28490
" ","30 Years","Male",26110
" "," ","Female",28240
" ","31 Years","Male",26080
" "," ","Female",28140
" ","32 Years","Male",25710
" "," ","Female",28220
" ","33 Years","Male",25350
" "," ","Female",28120
" ","34 Years","Male",25040
" "," ","Female",27670
" ","35 Years","Male",25540
" "," ","Female",28010
" ","36 Years","Male",25870
" "," ","Female",28290
" ","37 Years","Male",26800
" "," ","Female",29740
" ","38 Years","Male",27870
" "," ","Female",30890
" ","39 Years","Male",28870
" "," ","Female",32320
" ","40 Years","Male",30200
" "," ","Female",33450
" ","41 Years","Male",30470
" "," ","Female",34040
" ","42 Years","Male",30060
" "," ","Female",33280
" ","43 Years","Male",30310
" "," ","Female",33300
" ","44 Years","Male",29890
" "," ","Female",32690
" ","45 Years","Male",29610
" "," ","Female",32310
" ","46 Years","Male",29880
" "," ","Female",31980
" ","47 Years","Male",30180
" "," ","Female",32270
" ","48 Years","Male",31060
" "," ","Female",33170
" ","49 Years","Male",31440
" "," ","Female",34000
" ","50 Years","Male",31400
" "," ","Female",33530
" ","51 Years","Male",30720
" "," ","Female",32910
" ","52 Years","Male",29690
" "," ","Female",31490
" ","53 Years","Male",28970
" "," ","Female",30590
" ","54 Years","Male",27860
" "," ","Female",29410
" ","55 Years","Male",27560
" "," ","Female",28870
" ","56 Years","Male",26790
" "," ","Female",28090
" ","57 Years","Male",25710
" "," ","Female",27150
" ","58 Years","Male",25100
" "," ","Female",26370
" ","59 Years","Male",24270
" "," ","Female",25630
" ","60 Years","Male",24000
" "," ","Female",24950
" ","61 Years","Male",23620
" "," ","Female",24570
" ","62 Years","Male",23370
" "," ","Female",24400
" ","63 Years","Male",23280
" "," ","Female",23900
" ","64 Years","Male",23190
" "," ","Female",24110
" ","65 Years","Male",22900
" "," ","Female",23780
" ","66 Years","Male",19780
" "," ","Female",20710
" ","67 Years","Male",18210
" "," ","Female",19190
" ","68 Years","Male",17120
" "," ","Female",17820
" ","69 Years","Male",15620
" "," ","Female",16530
" ","70 Years","Male",16510
" "," ","Female",17550
" ","71 Years","Male",16030
" "," ","Female",17120
" ","72 Years","Male",14630
" "," ","Female",15690
" ","73 Years","Male",12990
" "," ","Female",14450
" ","74 Years","Male",12200
" "," ","Female",13550
" ","75 Years","Male",11280
" "," ","Female",12780
" ","76 Years","Male",10460
" "," ","Female",11880
" ","77 Years","Male",9890
" "," ","Female",11060
" ","78 Years","Male",9210
" "," ","Female",10740
" ","79 Years","Male",8590
" "," ","Female",10460
" ","80 Years","Male",8360
" "," ","Female",9970
" ","81 Years","Male",8020
" "," ","Female",9930
" ","82 Years","Male",7170
" "," ","Female",9320
" ","83 Years","Male",6510
" "," ","Female",8600
" ","84 Years","Male",5860
" "," ","Female",7930
" ","85 Years","Male",5140
" "," ","Female",7370
" ","86 Years","Male",4350
" "," ","Female",6700
" ","87 Years","Male",3700
" "," ","Female",6120
" ","88 Years","Male",3030
" "," ","Female",5310
" ","89 Years","Male",2410
" "," ","Female",4540
" ","90 Years","Male",1940
" "," ","Female",3990
" ","91 Years","Male",1520
" "," ","Female",3350
" ","92 Years","Male",1120
" "," ","Female",2620
" ","93 Years","Male",720
" "," ","Female",1800
" ","94 Years","Male",520
" "," ","Female",1460
" ","0-4 Years","Male",162170
" "," ","Female",153680
" ","5-9 Years","Male",150550
" "," ","Female",143530
" ","10-14 Years","Male",153790
" "," ","Female",146150
" ","15-19 Years","Male",159840
" "," ","Female",153060
" ","20-24 Years","Male",156860
" "," ","Female",154660
" ","25-29 Years","Male",134360
" "," ","Female",141050
" ","30-34 Years","Male",128290
" "," ","Female",140400
" ","35-39 Years","Male",134950
" "," ","Female",149250
" ","40-44 Years","Male",150920
" "," ","Female",166750
" ","45-49 Years","Male",152180
" "," ","Female",163730
" ","50-54 Years","Male",148650
" "," ","Female",157920
" ","55-59 Years","Male",129440
" "," ","Female",136110
" ","60-64 Years","Male",117460
" "," ","Female",121930
" ","65-69 Years","Male",93630
" "," ","Female",98030
" ","70-74 Years","Male",72360
" "," ","Female",78370
" ","75-79 Years","Male",49420
" "," ","Female",56930
" ","80-84 Years","Male",35920
" "," ","Female",45740
" ","85-89 Years","Male",18620
" "," ","Female",30030
" ","Under 15 Years","Male",466500
" "," ","Female",443400
" ","Under 16 Years","Male",497900
" "," ","Female",473200
" ","Under 18 Years","Male",562200
" "," ","Female",534300
" ","Under 20 Years","Male",626400
" "," ","Female",596400
" ","15-39 Years","Male",714300
" "," ","Female",738400
" ","15-49 Years","Male",1017400
" "," ","Female",1068900
" ","15-59 Years","Male",1295500
" "," ","Female",1362900
" ","40-64 Years","Male",698700
" "," ","Female",746400
" ","15-64 Years","Male",1413000
" "," ","Female",1484900
" ","15 Years and Over","Male",1689900
" "," ","Female",1810900
" ","16 Years and Over","Male",1658500
" "," ","Female",1781100
" ","18 Years and Over","Male",1594300
" "," ","Female",1720000
" ","20 Years and Over","Male",1530100
" "," ","Female",1657900
" ","90-94 Years","Male",5820
" "," ","Female",13220
" ","60 Years and Over","Male",394400
" "," ","Female",448000
" ","65 Years and Over","Male",276900
" "," ","Female",326100
" ","75 Years and Over","Male",111000
" "," ","Female",149700
" ","80 Years and Over","Male",61500
" "," ","Female",92700
" ","85 Years and Over","Male",25600
" "," ","Female",47000
" ","90 Years and Over","Male",6990
" "," ","Female",16970
" ","95 Years and Over","Male",1170
" "," ","Female",3750
" ","Median Age (Years)","Male",36.3
" "," ","Female",38.3
" ","Total All Ages","Male",2156400
" "," ","Female",2254300
2013,"0 Years","Male",30850
" "," ","Female",29400
" ","1 Years","Male",31440
" "," ","Female",29990
" ","2 Years","Male",32160
" "," ","Female",30530
" ","3 Years","Male",32850
" "," ","Female",31180
" ","4 Years","Male",32930
" "," ","Female",30710
" ","5 Years","Male",32740
" "," ","Female",31120
" ","6 Years","Male",31540
" "," ","Female",30080
" ","7 Years","Male",29970
" "," ","Female",28780
" ","8 Years","Male",29690
" "," ","Female",28190
" ","9 Years","Male",29740
" "," ","Female",28340
" ","10 Years","Male",29340
" "," ","Female",27910
" ","11 Years","Male",29340
" "," ","Female",28310
" ","12 Years","Male",30840
" "," ","Female",29460
" ","13 Years","Male",31680
" "," ","Female",29830
" ","14 Years","Male",30990
" "," ","Female",29120
" ","15 Years","Male",31520
" "," ","Female",29900
" ","16 Years","Male",31730
" "," ","Female",30200
" ","17 Years","Male",32370
" "," ","Female",30520
" ","18 Years","Male",32180
" "," ","Female",30740
" ","19 Years","Male",32290
" "," ","Female",30890
" ","20 Years","Male",32740
" "," ","Female",31510
" ","21 Years","Male",32740
" "," ","Female",31590
" ","22 Years","Male",32680
" "," ","Female",32050
" ","23 Years","Male",31390
" "," ","Female",31100
" ","24 Years","Male",30070
" "," ","Female",29820
" ","25 Years","Male",28840
" "," ","Female",29310
" ","26 Years","Male",27680
" "," ","Female",28430
" ","27 Years","Male",26870
" "," ","Female",28230
" ","28 Years","Male",26490
" "," ","Female",28390
" ","29 Years","Male",26390
" "," ","Female",28420
" ","30 Years","Male",26670
" "," ","Female",28750
" ","31 Years","Male",26220
" "," ","Female",28490
" ","32 Years","Male",26100
" "," ","Female",28200
" ","33 Years","Male",25740
" "," ","Female",28270
" ","34 Years","Male",25410
" "," ","Female",28160
" ","35 Years","Male",25070
" "," ","Female",27770
" ","36 Years","Male",25660
" "," ","Female",28090
" ","37 Years","Male",25990
" "," ","Female",28380
" ","38 Years","Male",26930
" "," ","Female",29820
" ","39 Years","Male",28060
" "," ","Female",30990
" ","40 Years","Male",29000
" "," ","Female",32400
" ","41 Years","Male",30290
" "," ","Female",33480
" ","42 Years","Male",30580
" "," ","Female",34070
" ","43 Years","Male",30140
" "," ","Female",33320
" ","44 Years","Male",30310
" "," ","Female",33230
" ","45 Years","Male",29910
" "," ","Female",32660
" ","46 Years","Male",29600
" "," ","Female",32250
" ","47 Years","Male",29790
" "," ","Female",31860
" ","48 Years","Male",30080
" "," ","Female",32130
" ","49 Years","Male",30960
" "," ","Female",33070
" ","50 Years","Male",31330
" "," ","Female",33850
" ","51 Years","Male",31270
" "," ","Female",33370
" ","52 Years","Male",30580
" "," ","Female",32770
" ","53 Years","Male",29550
" "," ","Female",31370
" ","54 Years","Male",28810
" "," ","Female",30480
" ","55 Years","Male",27750
" "," ","Female",29340
" ","56 Years","Male",27400
" "," ","Female",28810
" ","57 Years","Male",26650
" "," ","Female",28030
" ","58 Years","Male",25610
" "," ","Female",27130
" ","59 Years","Male",24970
" "," ","Female",26330
" ","60 Years","Male",24180
" "," ","Female",25630
" ","61 Years","Male",23930
" "," ","Female",24920
" ","62 Years","Male",23530
" "," ","Female",24510
" ","63 Years","Male",23260
" "," ","Female",24360
" ","64 Years","Male",23180
" "," ","Female",23860
" ","65 Years","Male",23070
" "," ","Female",24020
" ","66 Years","Male",22750
" "," ","Female",23660
" ","67 Years","Male",19600
" "," ","Female",20560
" ","68 Years","Male",18010
" "," ","Female",19070
" ","69 Years","Male",16890
" "," ","Female",17670
" ","70 Years","Male",15380
" "," ","Female",16340
