"Age-specific death rates by sex, December years (total population) (Annual-Dec)","","",""
"","","Male","Female"
" ","20-24 Years",0.63,0.37
" ","25-29 Years",0.72,0.32
" ","30-34 Years",0.69,0.38
" ","35-39 Years",0.98,0.59
" ","40-44 Years",1.44,0.87
" ","45-49 Years",2.28,1.35
" ","50-54 Years",3.29,2.36
" ","55-59 Years",4.87,3.72
" ","60-64 Years",7.59,4.91
" ","65-69 Years",11.67,7.94
" ","70-74 Years",18.46,12.49
" ","75-79 Years",33.68,21.90
" ","80-84 Years",59.37,41.95
" ","85-89 Years",109.59,85.29
" ","90 Years and Over",211.24,185.95
2021,"0-4 Years",1.15,0.93
" ","5-9 Years",0.09,0.08
" ","10-14 Years",0.14,0.15
" ","15-19 Years",0.50,0.33
" ","20-24 Years",0.70,0.36
" ","25-29 Years",0.70,0.33
" ","30-34 Years",0.93,0.33
" ","35-39 Years",1.05,0.61
" ","40-44 Years",1.51,0.97
" ","45-49 Years",2.04,1.35
" ","50-54 Years",3.53,2.36
" ","55-59 Years",5.26,3.41
" ","60-64 Years",7.58,5.40
" ","65-69 Years",12.07,7.76
" ","70-74 Years",18.87,13.15
" ","75-79 Years",33.08,22.98
" ","80-84 Years",59.26,44.70
" ","85-89 Years",117.02,88.26
" ","90 Years and Over",223.05,199.19
2022,"0-4 Years",0.95,0.69
" ","5-9 Years",0.05,0.08
" ","10-14 Years",0.12,0.09
" ","15-19 Years",0.42,0.25
" ","20-24 Years",0.68,0.40
" ","25-29 Years",0.79,0.40
" ","30-34 Years",0.91,0.40
" ","35-39 Years",1.03,0.65
" ","40-44 Years",1.47,0.92
" ","45-49 Years",2.27,1.61
" ","50-54 Years",3.60,2.37
" ","55-59 Years",5.84,3.66
" ","60-64 Years",8.48,5.76
" ","65-69 Years",12.55,8.68
" ","70-74 Years",20.23,13.44
" ","75-79 Years",35.49,25.05
" ","80-84 Years",62.28,48.48
" ","85-89 Years",125.11,94.93
" ","90 Years and Over",248.87,227.32
2023,"0-4 Years",0.86,0.81
" ","5-9 Years",0.05,0.06
" ","10-14 Years",0.12,0.09
" ","15-19 Years",0.55,0.30
" ","20-24 Years",0.83,0.30
" ","25-29 Years",0.80,0.40
" ","30-34 Years",0.90,0.42
" ","35-39 Years",0.99,0.59
" ","40-44 Years",1.51,1.03
" ","45-49 Years",2.23,1.52
" ","50-54 Years",3.24,2.32
" ","55-59 Years",5.53,3.68
" ","60-64 Years",8.20,5.65
" ","65-69 Years",12.26,8.47
" ","70-74 Years",19.59,13.13
" ","75-79 Years",33.41,24.09
" ","80-84 Years",62.84,45.86
" ","85-89 Years",114.69,90.14
" ","90 Years and Over",242.22,207.97
"Table information:"
"Units:"
"/ 1000, Magnitude = Units"
""
"Footnotes:"
"Rates from 1991 onward are based on the resident population concept. Before 1991, rates are based on the de facto population concept. Vitals data (births, deaths and marriages) is based on date of registration (not date of occurrence)."
"Deaths per 1,000 mean estimated population in each age group."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DMM001AA"
""
"Last updated:"
"19 February 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
