"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
"18 Years: 16 February 2024 10:45am"
"19 Years: 16 February 2024 10:45am"
"20 Years: 16 February 2024 10:45am"
"21 Years: 16 February 2024 10:45am"
"22 Years: 16 February 2024 10:45am"
"23 Years: 16 February 2024 10:45am"
"24 Years: 16 February 2024 10:45am"
"25 Years: 16 February 2024 10:45am"
"26 Years: 16 February 2024 10:45am"
"27 Years: 16 February 2024 10:45am"
"28 Years: 16 February 2024 10:45am"
"29 Years: 16 February 2024 10:45am"
"30 Years: 16 February 2024 10:45am"
"31 Years: 16 February 2024 10:45am"
"32 Years: 16 February 2024 10:45am"
"33 Years: 16 February 2024 10:45am"
"34 Years: 16 February 2024 10:45am"
"35 Years: 16 February 2024 10:45am"
"36 Years: 16 February 2024 10:45am"
"37 Years: 16 February 2024 10:45am"
"38 Years: 16 February 2024 10:45am"
"39 Years: 16 February 2024 10:45am"
"40 Years: 16 February 2024 10:45am"
"41 Years: 16 February 2024 10:45am"
"42 Years: 16 February 2024 10:45am"
"43 Years: 16 February 2024 10:45am"
"44 Years: 16 February 2024 10:45am"
"45 Years: 16 February 2024 10:45am"
"46 Years: 16 February 2024 10:45am"
"47 Years: 16 February 2024 10:45am"
"48 Years: 16 February 2024 10:45am"
"49 Years: 16 February 2024 10:45am"
"50 Years: 16 February 2024 10:45am"
"51 Years: 16 February 2024 10:45am"
"52 Years: 16 February 2024 10:45am"
"53 Years: 16 February 2024 10:45am"
"54 Years: 16 February 2024 10:45am"
"55 Years: 16 February 2024 10:45am"
"56 Years: 16 February 2024 10:45am"
"57 Years: 16 February 2024 10:45am"
"58 Years: 16 February 2024 10:45am"
"59 Years: 16 February 2024 10:45am"
"60 Years: 16 February 2024 10:45am"
"61 Years: 16 February 2024 10:45am"
"62 Years: 16 February 2024 10:45am"
"63 Years: 16 February 2024 10:45am"
"64 Years: 16 February 2024 10:45am"
"65 Years: 16 February 2024 10:45am"
"66 Years: 16 February 2024 10:45am"
"67 Years: 16 February 2024 10:45am"
"68 Years: 16 February 2024 10:45am"
"69 Years: 16 February 2024 10:45am"
"70 Years: 16 February 2024 10:45am"
"71 Years: 16 February 2024 10:45am"
"72 Years: 16 February 2024 10:45am"
"73 Years: 16 February 2024 10:45am"
"74 Years: 16 February 2024 10:45am"
"75 Years: 16 February 2024 10:45am"
"76 Years: 16 February 2024 10:45am"
"77 Years: 16 February 2024 10:45am"
"78 Years: 16 February 2024 10:45am"
"79 Years: 16 February 2024 10:45am"
"80 Years: 16 February 2024 10:45am"
"81 Years: 16 February 2024 10:45am"
"82 Years: 16 February 2024 10:45am"
"83 Years: 16 February 2024 10:45am"
"84 Years: 16 February 2024 10:45am"
"85 Years: 16 February 2024 10:45am"
"86 Years: 16 February 2024 10:45am"
"87 Years: 16 February 2024 10:45am"
"88 Years: 16 February 2024 10:45am"
"89 Years: 16 February 2024 10:45am"
"90 Years: 16 February 2024 10:45am"
"91 Years: 16 February 2024 10:45am"
"92 Years: 16 February 2024 10:45am"
"93 Years: 16 February 2024 10:45am"
"94 Years: 16 February 2024 10:45am"
"0-4 Years: 16 February 2024 10:45am"
"5-9 Years: 16 February 2024 10:45am"
"10-14 Years: 16 February 2024 10:45am"
"15-19 Years: 16 February 2024 10:45am"
"20-24 Years: 16 February 2024 10:45am"
"25-29 Years: 16 February 2024 10:45am"
"30-34 Years: 16 February 2024 10:45am"
"35-39 Years: 16 February 2024 10:45am"
"40-44 Years: 16 February 2024 10:45am"
"45-49 Years: 16 February 2024 10:45am"
"50-54 Years: 16 February 2024 10:45am"
"55-59 Years: 16 February 2024 10:45am"
"60-64 Years: 16 February 2024 10:45am"
"65-69 Years: 16 February 2024 10:45am"
"70-74 Years: 16 February 2024 10:45am"
"75-79 Years: 16 February 2024 10:45am"
"80-84 Years: 16 February 2024 10:45am"
"85-89 Years: 16 February 2024 10:45am"
"Under 15 Years: 16 February 2024 10:45am"
"Under 16 Years: 16 February 2024 10:45am"
"Under 18 Years: 16 February 2024 10:45am"
"Under 20 Years: 16 February 2024 10:45am"
"15-39 Years: 16 February 2024 10:45am"
"15-49 Years: 16 February 2024 10:45am"
"15-59 Years: 16 February 2024 10:45am"
"40-64 Years: 16 February 2024 10:45am"
"15-64 Years: 16 February 2024 10:45am"
"15 Years and Over: 16 February 2024 10:45am"
"16 Years and Over: 16 February 2024 10:45am"
"18 Years and Over: 16 February 2024 10:45am"
"20 Years and Over: 16 February 2024 10:45am"
"90-94 Years: 16 February 2024 10:45am"
"60 Years and Over: 16 February 2024 10:45am"
"65 Years and Over: 16 February 2024 10:45am"
"75 Years and Over: 16 February 2024 10:45am"
"80 Years and Over: 16 February 2024 10:45am"
"85 Years and Over: 16 February 2024 10:45am"
"90 Years and Over: 16 February 2024 10:45am"
"95 Years and Over: 16 February 2024 10:45am"
"Median Age (Years): 16 February 2024 10:45am"
"Total All Ages: 16 February 2024 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
